year,airport,timely
2003,ATL,0.80485851
2003,DEN,0.869677434
2003,DFW,0.858657154
2003,DTW,0.863978111
2003,IAH,0.847300181
2003,LAS,0.832983403
2003,LAX,0.862340597
2003,ORD,0.761887003
2003,PHX,0.868803332
2003,SFO,0.804810476
2004,ATL,0.750971848
2004,DEN,0.842392495
2004,DFW,0.832981612
2004,DTW,0.831208431
2004,IAH,0.824316167
2004,LAS,0.786218757
2004,LAX,0.825903507
2004,ORD,0.735868115
2004,PHX,0.812354614
2004,SFO,0.785781262
2005,ATL,0.754883667
2005,DEN,0.837729681
2005,DFW,0.830646078
2005,DTW,0.801792675
2005,IAH,0.835346706
2005,LAS,0.786920272
2005,LAX,0.813169971
2005,ORD,0.787658179
2005,PHX,0.821737411
2005,SFO,0.766761249
2006,ATL,0.738968799
2006,DEN,0.808172487
2006,DFW,0.810442332
2006,DTW,0.779844237
2006,IAH,0.794686702
2006,LAS,0.773749973
2006,LAX,0.781654553
2006,ORD,0.722040455
2006,PHX,0.816202897
2006,SFO,0.724486931
2007,ATL,0.765741168
2007,DEN,0.77645906
2007,DFW,0.759422102
2007,DTW,0.764343662
2007,IAH,0.803506304
2007,LAS,0.778481254
2007,LAX,0.77906057
2007,ORD,0.701703139
2007,PHX,0.795223072
2007,SFO,0.718563523
2008,ATL,0.773941489
2008,DEN,0.797316437
2008,DFW,0.793440677
2008,DTW,0.819530864
2008,IAH,0.80529272
2008,LAS,0.790311851
2008,LAX,0.78425018
2008,ORD,0.726179334
2008,PHX,0.823213784
2008,SFO,0.713598759
2009,ATL,0.743709567
2009,DEN,0.822672966
2009,DFW,0.815352814
2009,DTW,0.832738767
2009,IAH,0.839003841
2009,LAS,0.836125641
2009,LAX,0.838191448
2009,ORD,0.820737355
2009,PHX,0.85002254
2009,SFO,0.750273767
2010,ATL,0.812127951
2010,DEN,0.850667997
2010,DFW,0.84362581
2010,DTW,0.8025858
2010,IAH,0.833924614
2010,LAS,0.833764857
2010,LAX,0.829396299
2010,ORD,0.809339813
2010,PHX,0.863172872
2010,SFO,0.736559447
2011,ATL,0.823949055
2011,DEN,0.837002945
2011,DFW,0.854071085
2011,DTW,0.834483912
2011,IAH,0.826444017
2011,LAS,0.834623115
2011,LAX,0.810516136
2011,ORD,0.796611412
2011,PHX,0.861143425
2011,SFO,0.736683548
2012,ATL,0.856181736
2012,DEN,0.843035396
2012,DFW,0.846055592
2012,DTW,0.860363004
2012,IAH,0.815312623
2012,LAS,0.851600613
2012,LAX,0.823493525
2012,ORD,0.824277856
2012,PHX,0.873350996
2012,SFO,0.726191935
2013,ATL,0.818763444
2013,DEN,0.784110627
2013,DFW,0.81188423
2013,DTW,0.846055022
2013,IAH,0.813185842
2013,LAS,0.810344206
2013,LAX,0.809092567
2013,ORD,0.770105568
2013,PHX,0.847150201
2013,SFO,0.750322784
2014,ATL,0.831290118
2014,DEN,0.783729867
2014,DFW,0.784743631
2014,DTW,0.84229695
2014,IAH,0.795850432
2014,LAS,0.787002583
2014,LAX,0.784983396
2014,ORD,0.729191967
2014,PHX,0.818852592
2014,SFO,0.720984163
