year,airport,timely,gdp
2003,ATL,0.80485851,39677
2003,DEN,0.869677434,39677
2003,DFW,0.858657154,39677
2003,DTW,0.863978111,39677
2003,IAH,0.847300181,39677
2003,LAS,0.832983403,39677
2003,LAX,0.862340597,39677
2003,ORD,0.761887003,39677
2003,PHX,0.868803332,39677
2003,SFO,0.804810476,39677
2004,ATL,0.750971848,41922
2004,DEN,0.842392495,41922
2004,DFW,0.832981612,41922
2004,DTW,0.831208431,41922
2004,IAH,0.824316167,41922
2004,LAS,0.786218757,41922
2004,LAX,0.825903507,41922
2004,ORD,0.735868115,41922
2004,PHX,0.812354614,41922
2004,SFO,0.785781262,41922
2005,ATL,0.754883667,44308
2005,DEN,0.837729681,44308
2005,DFW,0.830646078,44308
2005,DTW,0.801792675,44308
2005,IAH,0.835346706,44308
2005,LAS,0.786920272,44308
2005,LAX,0.813169971,44308
2005,ORD,0.787658179,44308
2005,PHX,0.821737411,44308
2005,SFO,0.766761249,44308
2006,ATL,0.738968799,46437
2006,DEN,0.808172487,46437
2006,DFW,0.810442332,46437
2006,DTW,0.779844237,46437
2006,IAH,0.794686702,46437
2006,LAS,0.773749973,46437
2006,LAX,0.781654553,46437
2006,ORD,0.722040455,46437
2006,PHX,0.816202897,46437
2006,SFO,0.724486931,46437
2007,ATL,0.765741168,48062
2007,DEN,0.77645906,48062
2007,DFW,0.759422102,48062
2007,DTW,0.764343662,48062
2007,IAH,0.803506304,48062
2007,LAS,0.778481254,48062
2007,LAX,0.77906057,48062
2007,ORD,0.701703139,48062
2007,PHX,0.795223072,48062
2007,SFO,0.718563523,48062
2008,ATL,0.773941489,48401
2008,DEN,0.797316437,48401
2008,DFW,0.793440677,48401
2008,DTW,0.819530864,48401
2008,IAH,0.80529272,48401
2008,LAS,0.790311851,48401
2008,LAX,0.78425018,48401
2008,ORD,0.726179334,48401
2008,PHX,0.823213784,48401
2008,SFO,0.713598759,48401
2009,ATL,0.743709567,47002
2009,DEN,0.822672966,47002
2009,DFW,0.815352814,47002
2009,DTW,0.832738767,47002
2009,IAH,0.839003841,47002
2009,LAS,0.836125641,47002
2009,LAX,0.838191448,47002
2009,ORD,0.820737355,47002
2009,PHX,0.85002254,47002
2009,SFO,0.750273767,47002
2010,ATL,0.812127951,48374
2010,DEN,0.850667997,48374
2010,DFW,0.84362581,48374
2010,DTW,0.8025858,48374
2010,IAH,0.833924614,48374
2010,LAS,0.833764857,48374
2010,LAX,0.829396299,48374
2010,ORD,0.809339813,48374
2010,PHX,0.863172872,48374
2010,SFO,0.736559447,48374
2011,ATL,0.823949055,49781
2011,DEN,0.837002945,49781
2011,DFW,0.854071085,49781
2011,DTW,0.834483912,49781
2011,IAH,0.826444017,49781
2011,LAS,0.834623115,49781
2011,LAX,0.810516136,49781
2011,ORD,0.796611412,49781
2011,PHX,0.861143425,49781
2011,SFO,0.736683548,49781
2012,ATL,0.856181736,51457
2012,DEN,0.843035396,51457
2012,DFW,0.846055592,51457
2012,DTW,0.860363004,51457
2012,IAH,0.815312623,51457
2012,LAS,0.851600613,51457
2012,LAX,0.823493525,51457
2012,ORD,0.824277856,51457
2012,PHX,0.873350996,51457
2012,SFO,0.726191935,51457
2013,ATL,0.818763444,52980
2013,DEN,0.784110627,52980
2013,DFW,0.81188423,52980
2013,DTW,0.846055022,52980
2013,IAH,0.813185842,52980
2013,LAS,0.810344206,52980
2013,LAX,0.809092567,52980
2013,ORD,0.770105568,52980
2013,PHX,0.847150201,52980
2013,SFO,0.750322784,52980
2014,ATL,0.831290118,54630
2014,DEN,0.783729867,54630
2014,DFW,0.784743631,54630
2014,DTW,0.84229695,54630
2014,IAH,0.795850432,54630
2014,LAS,0.787002583,54630
2014,LAX,0.784983396,54630
2014,ORD,0.729191967,54630
2014,PHX,0.818852592,54630
2014,SFO,0.720984163,54630
